Ticket_ID,Customer_ID,Account_ID,Loan_ID,Branch_Name,Issue_Category,Description,Date_Opened,Date_Closed,Priority,Status,Resolution_Remarks,Support_Agent,Channel,Customer_Rating
T00001,C0478,A1825,,Gonzalez-Martin Branch,Loan Payment Delay,Client raised loan payment delay.,2017-09-30,2017-10-24,Low,Closed,Card replaced and activated.,Leena Apte,Email,1
T00002,C0443,A3583,,Baldwin and Sons Branch,Loan Foreclosure,Client raised loan foreclosure.,2015-04-19,2015-05-12,Critical,In Progress,Card replaced and activated.,Owen Mahajan,In-person,1
T00003,C0057,A2616,442,"Porter, Osborne and Mendez Branch",Interest Rate Dispute,Customer reported interest rate dispute.,2016-09-28,2016-10-23,High,Resolved,Loan schedule updated.,Wishi Chhabra,Email,4
T00004,C0301,A8786,,"Stafford, Oneal and Williams Branch",Mismatch in Account Statement,Client raised mismatch in account statement.,2019-03-31,2019-04-10,High,Closed,Pending customer verification.,Gabriel Mutti,Email,1
T00005,C0238,A3734,,Evans-Mercado Branch,KYC Update Required,System detected kyc update required.,2017-08-11,,Critical,Resolved,Pending customer verification.,Ekani Oza,In-person,2
T00006,C0223,A4375,,Duncan Group Branch,Unauthorized Transaction,System detected unauthorized transaction.,2016-12-01,2016-12-09,Critical,Resolved,KYC documents verified.,Gabriel Mutti,Phone,3
T00007,C0191,A0917,,Thompson-Holmes Branch,Account Access Issue,Client raised account access issue.,2018-07-16,2018-07-19,High,In Progress,KYC documents verified.,Veda Samra,Mobile App,4
T00008,C0185,A2341,58,Alvarez-Hampton Branch,Interest Rate Dispute,System detected interest rate dispute.,2023-05-10,2023-05-19,Medium,In Progress,Loan schedule updated.,Veda Samra,Email,1
T00009,C0397,A1797,,Black Group Branch,Loan Payment Delay,System detected loan payment delay.,2023-11-19,2023-12-09,Critical,Closed,Card replaced and activated.,Udyati Mody,In-person,5
T00010,C0185,A0189,,"Schroeder, Lane and Arnold Branch",Loan Foreclosure,System detected loan foreclosure.,2021-01-08,2021-02-02,Low,Resolved,Card replaced and activated.,Chanakya Natt,Mobile App,1
T00011,C0366,A4316,,Frazier and Sons Branch,Mismatch in Account Statement,Client raised mismatch in account statement.,2020-09-10,,High,Closed,Loan schedule updated.,Kalpit Ahuja,Phone,3
T00012,C0392,A2647,,"Wang, Mcdonald and Church Branch",Interest Rate Dispute,System detected interest rate dispute.,2020-06-24,2020-07-24,Medium,Open,Pending customer verification.,Triya Mukhopadhyay,Email,1
T00013,C0158,A7963,,Fleming-Washington Branch,Loan Foreclosure,System detected loan foreclosure.,2020-12-21,2020-12-26,Medium,Resolved,Loan schedule updated.,Wriddhish Mangal,Mobile App,2
T00014,C0270,A8836,,Martin-Stewart Branch,Loan Foreclosure,System detected loan foreclosure.,2019-06-23,,Critical,Closed,Card replaced and activated.,Ekanta Devan,Phone,2
T00015,C0011,A1050,296,Nguyen LLC Branch,Loan Payment Delay,Customer reported loan payment delay.,2021-03-18,2021-03-26,Low,Open,Refund processed.,Niharika Aggarwal,Email,5
T00016,C0148,A3900,,Moore-Schaefer Branch,Account Closure Request,Client raised account closure request.,2017-05-27,2017-06-20,Critical,In Progress,Refund processed.,Veda Samra,Mobile App,2
T00017,C0346,A1546,,Reyes-Kelley Branch,Mismatch in Account Statement,Client raised mismatch in account statement.,2018-12-22,2019-01-06,Low,Open,Issue resolved successfully.,Upkaar Bava,In-person,1
T00018,C0460,A4074,528,"Jackson, Sanders and Webb Branch",Loan Payment Delay,System detected loan payment delay.,2020-01-12,2020-01-18,Low,Open,KYC documents verified.,Falguni Bhandari,Email,1
T00019,C0431,A3873,,Huynh-Jones Branch,Account Closure Request,Customer reported account closure request.,2020-05-25,2020-06-07,Medium,Escalated,Issue resolved successfully.,Upkaar Bava,In-person,4
T00020,C0239,A4674,,Smith Group Branch,Online Transfer Failed,Client raised online transfer failed.,2023-03-12,,Critical,In Progress,Pending customer verification.,Rehaan Balakrishnan,Phone,1
T00021,C0046,A9490,,"Ramirez, Ray and Harvey Branch",Online Transfer Failed,Client raised online transfer failed.,2015-08-23,2015-09-08,Medium,Open,Loan schedule updated.,Chaitaly Vaidya,Phone,1
T00022,C0297,A9750,,Lewis-Travis Branch,Debit Card Delivery Delay,Customer reported debit card delivery delay.,2017-08-21,2017-09-19,Low,Closed,Issue resolved successfully.,Lavanya Hans,In-person,3
T00023,C0103,A3347,364,Ramsey-Carr Branch,Loan Payment Delay,Customer reported loan payment delay.,2019-06-10,2019-07-01,Critical,Closed,Loan schedule updated.,Ekanta Devan,Email,5
T00024,C0335,A3493,211,"Meadows, Taylor and Butler Branch",Loan Foreclosure,Customer reported loan foreclosure.,2018-11-30,,Critical,Closed,KYC documents verified.,Rehaan Balakrishnan,Email,5
T00025,C0286,A4906,,Mcclain Inc Branch,Loan Payment Delay,Client raised loan payment delay.,2016-07-04,2016-08-02,Medium,Resolved,Escalated to technical team.,Vansha Sood,Phone,3
T00026,C0190,A3336,,"Adams, Mitchell and Schneider Branch",Mismatch in Account Statement,Customer reported mismatch in account statement.,2017-10-25,,Low,Escalated,Refund processed.,Wishi Chhabra,Email,1
T00027,C0142,A5465,,Jones-Baker Branch,Online Transfer Failed,Client raised online transfer failed.,2017-12-08,2017-12-23,Critical,Closed,Issue resolved successfully.,Ekanta Devan,Email,2
T00028,C0164,A8939,,"Pratt, Perkins and Garcia Branch",Unauthorized Transaction,Customer reported unauthorized transaction.,2021-07-13,2021-07-27,High,Resolved,Refund processed.,Wriddhish Mangal,Email,3
T00029,C0349,A3442,,Moore-Hodges Branch,Mismatch in Account Statement,System detected mismatch in account statement.,2018-12-19,2019-01-17,Medium,In Progress,Refund processed.,Chanakya Natt,Phone,4
T00030,C0243,A0407,,Stone-Miller Branch,UPI Payment Failed,Client raised upi payment failed.,2018-09-22,2018-10-06,Medium,Resolved,Pending customer verification.,Aarnav Sangha,Email,4
